,home_team,away_team,lm_away,lm_draw,lm_home,knn_away,knn_draw,knn_home,rf_away,rf_draw,rf_home,gb_away,gb_draw,gb_home,lgbm_away,lgbm_draw,lgbm_home,xgb_away,xgb_draw,xgb_home,cb_away,cb_draw,cb_home,sc_away,sc_draw,sc_home,nn_away,nn_draw,nn_home,mean_away,mean_draw,mean_home
20,France,Tunisia,0.02389062796177716,0.1379511932291559,0.838158178809067,0.2,0.1,0.7,0.09089212076781324,0.11999868546798474,0.7891091937642027,0.05246241715042693,0.0687395109214722,0.878798071928101,0.029151941197349547,0.06769802137996989,0.9031500374226806,0.02467809,0.028772078,0.9465499,0.04890413838559848,0.14505784113047324,0.8060380204839283,0.00996416,0.07404408,0.9159918,1.0072974e-07,7.348932e-10,0.9999999,0.053327066274423345,0.08247348998965881,0.8641994509740353
21,Australia,Denmark,0.4490332319699995,0.251626305708302,0.29934046232169853,0.9,0.1,0.0,0.46814130326746894,0.27898410014172964,0.2528745965908012,0.4395381607491551,0.307015074139509,0.25344676511133596,0.4775785718419771,0.2799085520562907,0.24251287610173228,0.43024817,0.26478782,0.30496398,0.4206142985621083,0.3690864022666524,0.21029929917123932,0.7090254,0.17402233,0.11695236,0.96774954,0.0005037743,0.031746637,0.58465873961276,0.22510381815922534,0.19023744135489984
22,Australia,Tunisia,0.09917994993170166,0.2045077109336894,0.6963123391346089,0.0,0.2,0.8,0.23435929029078018,0.2644164274528049,0.5012242822564146,0.24252100681149225,0.24785153122262818,0.5096274619658796,0.264608527486105,0.31878046116469566,0.4166110113491993,0.29411313,0.24512663,0.46076024,0.22030740863158027,0.25913196870702077,0.520560622661399,0.41155064,0.27122894,0.31722042,0.00044030184,8.9110375e-07,0.99955875,0.19634225060312913,0.22344939607951148,0.5802083466237752
23,Denmark,Tunisia,0.04673122659561551,0.19267991023631525,0.7605888631680692,0.0,0.2,0.8,0.14230538061608433,0.21619737625704194,0.641497243126874,0.12040996819225,0.20493379848984764,0.6746562333179024,0.14186999196252503,0.17934129766783197,0.6787887103696431,0.20315187,0.19558443,0.6012637,0.12985845754235528,0.25540081076176946,0.6147407316958752,0.05950224,0.12952717,0.8109706,4.0518257e-06,1.25479485e-08,0.99999595,0.09375924264428503,0.17485164485968527,0.7313891149886631
24,Spain,Costa Rica,0.06382567993464278,0.158122714891307,0.7780516051740503,0.1,0.2,0.7,0.10540903330861154,0.15246989258428034,0.7421210741071087,0.0714438430961305,0.1079729226649656,0.8205832342389039,0.051012766670496104,0.14817333411091924,0.8008138992185847,0.08299418,0.09412257,0.8228832,0.2572819424493616,0.11055027882664722,0.6321677787239911,0.09350416,0.17428517,0.73221064,8.060261e-05,2.7996455e-07,0.99991906,0.09172802296074606,0.12729968474906211,0.780972274802052
25,Spain,Germany,0.2531649613113502,0.3116675907291247,0.4351674479595251,0.2,0.1,0.7,0.22543546740479695,0.4022607711341036,0.3723037614611001,0.15492161871760507,0.40487407763853694,0.4402043036438579,0.15559130948277894,0.4373866452767909,0.40702204524043,0.12686165,0.41835326,0.4547851,0.1463887186802655,0.5762745535954187,0.27733672772431567,0.14036804,0.30300286,0.55662906,0.17883748,0.00019342228,0.8209691,0.17572991610060656,0.328223687149077,0.4960463956734746
26,Spain,Japan,0.09362387354238015,0.22384813827663946,0.6825279881809804,0.0,0.4,0.6,0.06597119243462442,0.17548344460338475,0.7585453629619914,0.0711913857644206,0.17967491294091134,0.749133701294668,0.04751335203001986,0.16203903450562254,0.7904476134643577,0.054598052,0.21237458,0.7330274,0.08003244442548842,0.11006075640026008,0.8099067991742516,0.034204997,0.22062962,0.7451654,0.000642735,1.6129002e-06,0.9993556,0.049753114706784486,0.18712356667616917,0.76312332061172
27,Costa Rica,Germany,0.5130408927351198,0.3336943655364188,0.15326474172846144,0.7,0.2,0.1,0.5725525562263508,0.29767075374564356,0.12977669002800613,0.5049383106716332,0.3620618570819314,0.13299983224643558,0.5534891937895877,0.37735242717040623,0.0691583790400061,0.61326027,0.31419164,0.072548084,0.41956829195283246,0.4923017121053372,0.08812999594183037,0.7193807,0.23356101,0.04705829,0.99738723,0.0004020718,0.0022106855,0.6215130468536891,0.2901373151151118,0.08834963335518371
28,Costa Rica,Japan,0.2832704640365113,0.35783022418523225,0.3588993117782564,0.2,0.2,0.6,0.38049203110097074,0.2591582277855357,0.36034974111349427,0.35262314768849934,0.2671113487236981,0.3802655035878025,0.5034136650946831,0.18546252955471285,0.3111238053506041,0.3378068,0.2649342,0.39725906,0.3631113259052447,0.22357591214947922,0.41331276194527605,0.19299,0.34630045,0.4607096,0.5708859,0.00053397124,0.4285801,0.35384370295467765,0.23387854206140762,0.41227776525433313
29,Germany,Japan,0.10375047117944955,0.22495216966105805,0.6712973591594924,0.2,0.2,0.6,0.09563970654521206,0.20120348089278997,0.7031568125619977,0.09438417846082557,0.19613618561783544,0.7094796359213391,0.12877163242514322,0.12443818271673854,0.7467901848581183,0.10266557,0.20445985,0.69287455,0.11681749191214237,0.12937631391299637,0.7538061941748612,0.111595064,0.13358305,0.7548219,0.00077818584,8.892281e-07,0.99922097,0.10604470045854343,0.15712779133286095,0.7368275112601146
