iter	Passed	Remaining
846	34083	6156
847	34117	6115
848	34150	6073
849	34184	6032
850	34219	5991
851	34252	5949
852	34285	5908
853	34318	5867
854	34351	5825
855	34384	5784
856	34416	5742
857	34450	5701
858	34483	5660
859	34517	5619
860	34549	5577
861	34584	5536
862	34617	5495
863	34649	5454
864	34683	5413
865	34717	5371
866	34750	5330
867	34784	5289
868	34817	5248
869	34851	5207
870	34883	5166
871	34917	5125
872	34952	5084
873	34985	5043
874	35041	5005
875	35076	4965
876	35107	4923
877	35140	4882
878	35173	4841
879	35205	4800
880	35239	4759
881	35275	4719
882	35309	4678
883	35343	4637
884	35376	4596
885	35409	4556
886	35441	4515
887	35475	4474
888	35508	4433
889	35543	4393
890	35576	4352
891	35610	4311
892	35644	4271
893	35684	4231
894	35725	4191
895	35765	4151
896	35803	4111
897	35837	4070
898	35872	4030
899	35909	3989
900	35945	3949
901	35981	3909
902	36015	3868
903	36053	3828
904	36086	3788
905	36122	3747
906	36157	3707
907	36193	3667
908	36229	3626
909	36265	3586
910	36298	3546
911	36333	3505
912	36368	3465
913	36404	3425
914	36438	3385
915	36472	3344
916	36506	3304
917	36539	3263
918	36572	3223
919	36605	3183
920	36638	3142
921	36671	3102
922	36706	3062
923	36740	3021
924	36773	2981
925	36805	2941
926	36841	2901
927	36875	2861
928	36908	2820
929	36941	2780
930	36976	2740
931	37011	2700
932	37042	2660
933	37079	2620
934	37112	2580
935	37143	2539
936	37177	2499
937	37211	2459
938	37244	2419
939	37277	2379
940	37311	2339
941	37345	2299
942	37377	2259
943	37409	2219
944	37444	2179
945	37477	2139
946	37511	2099
947	37543	2059
948	37578	2019
949	37613	1979
950	37648	1939
951	37680	1899
952	37712	1859
953	37746	1820
954	37777	1780
955	37812	1740
956	37847	1700
957	37881	1660
958	37914	1620
959	37947	1581
960	37980	1541
961	38014	1501
962	38047	1461
963	38080	1422
964	38116	1382
965	38173	1343
966	38206	1303
967	38240	1264
968	38274	1224
969	38309	1184
970	38342	1145
971	38375	1105
972	38407	1065
973	38438	1026
974	38475	986
975	38507	946
976	38540	907
977	38574	867
978	38607	828
979	38639	788
980	38674	749
981	38707	709
982	38740	669
983	38775	630
984	38809	591
985	38841	551
986	38874	512
987	38906	472
988	38940	433
989	38975	393
990	39007	354
991	39039	314
992	39074	275
993	39109	236
994	39142	196
995	39174	157
996	39208	117
997	39242	78
998	39275	39
999	39306	0
145931	10647
932	146023	10486
933	146121	10325
934	146221	10165
935	146320	10004
936	146403	9843
937	146481	9682
938	146558	9520
939	146640	9360
940	146704	9198
941	146764	9036
942	146823	8874
943	146889	8713
944	146949	8552
945	147005	8391
946	147062	8230
947	147123	8070
948	147187	7909
949	147246	7749
950	147308	7590
951	147373	7430
952	147438	7271
953	147501	7112
954	147562	6953
955	147624	6794
956	147689	6635
957	147750	6477
958	147816	6319
959	147875	6161
960	147938	6003
961	148000	5846
962	148064	5688
963	148126	5531
964	148187	5374
965	148249	5217
966	148305	5061
967	148380	4905
968	148440	4748
969	148502	4592
970	148559	4436
971	148626	4281
972	148695	4126
973	148752	3970
974	148810	3815
975	148867	3660
976	148926	3505
977	148988	3351
978	149055	3197
979	149121	3043
980	149187	2889
981	149259	2735
982	149314	2582
983	149373	2428
984	149432	2275
985	149492	2122
986	149555	1969
987	149614	1817
